line_num,station_nm_chn,station_cd,station_nm_jpn,station_nm_eng,station_nm,fr_code,lat,lng
01호선,纸杏,1912,チヘン,Jihaeng,지행,104,37.892334,127.055716
01호선,回基,1015,フェギ,Hoegi,회기,123,37.58946,127.057583
01호선,回龙,1905,フェリョン,Hoeryong,회룡,111,37.724846,127.046895
01호선,议政府,1906,ウィジョンブ,Uijeongbu,의정부,110,37.738415,127.045958
01호선,佳陵,1907,カヌン,Ganeung,가능,109,37.748577,127.044213
01호선,绿杨,1908,ノギャン,Nogyang,녹양,108,37.75938,127.042292
01호선,杨州,1909,ヤンジュ,Yangju,양주,107,37.774381,127.044708
01호선,德溪,1910,トッケ,Deokgye,덕계,106,37.818486,127.056486
01호선,德亭,1911,トクチョン,Deokjeong,덕정,105,37.843188,127.061277
01호선,保山,1914,ポサン,Bosan,보산,102,37.913702,127.057277
01호선,安养,1706,アニヤン,Anyang,안양,P147,37.401592,126.922874
01호선,鸣鹤,1707,ミョンハク,Myeonghak,명학,P148,37.384653,126.935433
01호선,军浦,1709,クンポ,Gunpo,군포,P150,37.35356,126.948462
01호선,望月寺,1904,マンウォルサ,Mangwolsa,망월사,112,37.709914,127.047455
01호선,道峰山,1903,トボンサン,Dobongsan,도봉산,113,37.689313,127.046222
01호선,道峰,1902,トボン,Dobong,도봉,114,37.679563,127.045595
01호선,新吉,1032,シンギル,Singil,신길,138,37.517122,126.917169
01호선,放鹤,1901,パンハク,Banghak,방학,115,37.667503,127.044273
01호선,成均馆大学,1711,ソンギュングァンデ,Sungkyunkwan Univ.,성균관대,P153,37.300349,126.97075
02호선,合井,0238,ハプチョン,Hapjeong,합정,238,37.549463,126.913739
02호선,堂山,0237,タンサン,Dangsan,당산,237,37.53438,126.902281
02호선,龙头(东大门区厅),0250,ヨンドゥ,Yongdu,용두,211-3,37.574028,127.038091
02호선,市廳,0201,シチョン,City Hall,시청,201,37.564718,126.977108
02호선,喜鹊山,0200,カチサン,Kkachisan,까치산,234-4,37.531768,126.846683
02호선,新亭十字路口,0249,シンジョンネゴリ,Sinjeongnegeori,신정네거리,234-3,37.520074,126.852912
02호선,阳川区厅,0248,ヤンチョングチョン,Yangcheon-gu Office,양천구청,234-2,37.512398,126.865819
02호선,纛岛,0210,トゥッソム,Ttukseom,뚝섬,210,37.547184,127.047367
02호선,新道林,0234,シンドリム,Sindorim,신도림,234,37.508725,126.891295
02호선,大林(九老区厅),0233,テリム,Daerim,대림,233,37.49297,126.895801
02호선,九老数码园区,0232,クロ・デジタルダンジ,Guro Digital Complex,구로디지털단지,232,37.485266,126.901401
02호선,方背,0225,パンベ,Bangbae,방배,225,37.481426,126.997596
02호선,新大方,0231,シンデバン,Sindaebang,신대방,231,37.487462,126.913149
02호선,新林,0230,シンリム,Sillim,신림,230,37.484201,126.929715
02호선,奉天,0229,ポンチョン,Bongcheon,봉천,229,37.482362,126.941892
02호선,江南,0222,カンナム,Gangnam,강남,222,37.497175,127.027926
02호선,驿三,0221,ヨッサム,Yeoksam,역삼,221,37.500622,127.036456
02호선,道林川,0247,トリムチョン,Dorimcheon,도림천,234-1,37.514287,126.882768
02호선,宣陵,0220,ソンルン,Seolleung,선릉,220,37.504503,127.049008
02호선,首尔大学(冠岳区厅),0228,ソウルデイック,Seoul Nat`l Univ.,서울대입구,228,37.481247,126.952739
02호선,三成(会展中心),0219,サムソン(三成),Samseong,삼성,219,37.508844,127.06316
02호선,落星垈,0227,ナクソンデ,Nakseongdae,낙성대,227,37.47693,126.963693
02호선,永登浦区厅,0236,ヨンドゥンポグチョン,Yeongdeungpo-gu Office,영등포구청,236,37.52497,126.895951
02호선,舍堂,0226,サダン,Sadang,사당,226,37.47653,126.981685
02호선,综合运动场,0218,チョンハブンドンジャン,Sports Complex,종합운동장,218,37.510997,127.073642
02호선,新設洞,0246,シンソルトン,Sinseol-dong,신설동,211-4,37.575297,127.025087
02호선,新踏,0245,シンダプ,Sindap,신답,211-2,37.57004,127.046481
02호선,龙踏,0244,ヨンダプ,Yongdap,용답,211-1,37.561904,127.050899
02호선,忠正路(京畿大学),0243,チュンジョンノ,Chungjeongno,충정로,243,37.559973,126.963672
02호선,阿岘,0242,アヒョン,Ahyeon,아현,242,37.557345,126.956141
02호선,梨花女子大学,0241,イデ,Ewha Womans Univ.,이대,241,37.556733,126.946013
02호선,蚕室新川,0217,チャムシルセネ,Jamsilsaenae,잠실새내,217,37.511687,127.086162
02호선,蚕室(松坡区厅),0216,チャムシル,Jamsil,잠실,216,37.51395,127.102234
02호선,蚕室渡口,0215,チャムシルナル,Jamsillaru,잠실나루,215,37.520733,127.10379
02호선,江边(东首尔客运站),0214,カンビョン,Gangbyeon,강변,214,37.535095,127.094681
02호선,新村,0240,シンチョン(新村),Sinchon,신촌,240,37.555134,126.936893
02호선,东大门历史文化公园(DDP),0205,トンデムンヨクサムンファゴンウォン(DDP),Dongdaemun History  Culture Park,동대문역사문화공원,205,37.565138,127.007896
02호선,弘益大学,0239,ホンデイック,Hongik Univ.,홍대입구,239,37.557192,126.925381
02호선,新堂,0206,シンダン,Sindang,신당,206,37.565972,127.01782
02호선,文來,0235,ムンレ,Mullae,문래,235,37.517933,126.89476
02호선,九宜,0213,クイ,Guui,구의,213,37.537077,127.085916
02호선,乙支路四街,0204,ウルチロサガ,Euljiro 4(sa)-ga,을지로4가,204,37.566941,126.998079
02호선,汉阳大学,0209,ハニャンデ,Hanyang Univ.,한양대,209,37.555273,127.043655
02호선,上往十里,0207,サンワンシムニ,Sangwangsimni,상왕십리,207,37.564354,127.029354
02호선,乙支路三街,0203,ウルチロサムガ,Euljiro 3(sam)-ga,을지로3가,203,37.566295,126.99191
02호선,建国大学,0212,コンデイック,Konkuk Univ.,건대입구,212,37.540693,127.07023
02호선,瑞草,0224,ソチョ,Seocho,서초,224,37.491897,127.007917
02호선,首尔教育大学,0223,キョデ,Seoul Nat`l Univ. of Education,교대,223,37.493415,127.01408
02호선,圣水,0211,ソンス,Seongsu,성수,211,37.544581,127.055961
02호선,往十里,0208,ワンシムニ,Wangsimni,왕십리,208,37.561533,127.037732
02호선,乙支路入口,0202,ウルチロイック,Euljiro 1(il)-ga,을지로입구,202,37.566014,126.982618
03호선,道谷,0334,トゴク,Dogok,도곡,344,37.490858,127.055381
03호선,高速巴士客运站,0329,コソクターミナル,Express Bus Terminal,고속터미널,339,37.50481,127.004943
03호선,东国大学,0322,トンデイック,Dongguk Univ.,동대입구,332,37.559052,127.005602
03호선,忠武路,0321,チュンムロ,Chungmuro,충무로,331,37.561243,126.99428
03호선,乙支路三街,0320,ウルチロサムガ,Euljiro 3(sam)-ga,을지로3가,330,37.566295,126.99191
03호선,钟路三街,0319,チョンノサムガ,Jongno 3(sam)-ga,종로3가,329,37.571607,126.991806
03호선,景福宫(政府首尔厅舍),0317,キョンボックン,Gyeongbokgung,경복궁,327,37.575762,126.97353
03호선,蚕院,0328,チャムォン,Jamwon,잠원,338,37.512759,127.01122
03호선,碌磻,0313,ノッポン,Nokbeon,녹번,323,37.600927,126.935756
03호선,佛光,0312,プルグァン,Bulgwang,불광,322,37.610469,126.929887
03호선,大化,1958,大化,Daehwa,대화,309,37.676087,126.747569
03호선,注葉,1957,注葉,Juyeop,주엽,310,37.670072,126.761334
03호선,元堂,1951,元堂,Wondang,원당,316,37.653324,126.843041
03호선,安国,0318,アングク,Anguk,안국,328,37.576477,126.985443
03호선,独立门,0316,トンニンムン,Dongnimmun,독립문,326,37.574571,126.957748
03호선,毋岳岭,0315,ムアクチェ,Muakjae,무악재,325,37.582299,126.950291
03호선,弘济,0314,ホンジェ,Hongje,홍제,324,37.589066,126.943736
03호선,延新川,0311,ヨンシンネ,Yeonsinnae,연신내,321,37.619001,126.921008
03호선,旧把拨,0310,クパバル,Gupabal,구파발,320,37.636763,126.918821
03호선,纸杻,0309,チチュク,Jichuk,지축,319,37.648048,126.913951
03호선,警察医院,0341,キョンチャル・ピョンウォン,National Police Hospital,경찰병원,351,37.495918,127.12454
03호선,可乐市场,0340,カラク・シジャン,Garak Market,가락시장,350,37.492522,127.118234
03호선,水西,0339,スソ,Suseo,수서,349,37.487371,127.10188
03호선,逸院,0338,イルォン,Irwon,일원,348,37.483681,127.08439
03호선,大厅,0337,テチョン,Daecheong,대청,347,37.493514,127.079532
03호선,馬頭,1955,馬頭,Madu,마두,312,37.652206,126.77762
03호선,白石,1954,白石,Baekseok,백석,313,37.643114,126.78787
03호선,大谷,1953,大谷,Daegok,대곡,314,37.631626,126.811024
03호선,鹤滩,0336,ハンニョウル,Hangnyeoul,학여울,346,37.496663,127.070594
03호선,新沙,0327,シンサ,Sinsa,신사,337,37.516334,127.020114
03호선,狎鸥亭,0326,アックジョン,Apgujeong,압구정,336,37.527072,127.028461
03호선,大峙,0335,テチ,Daechi,대치,345,37.494612,127.063642
03호선,梧琴,0342,オグム,Ogeum,오금,352,37.502162,127.128111
03호선,梅峰,0333,メボン,Maebong,매봉,343,37.486947,127.046769
03호선,良才(瑞草区厅),0332,ヤンジェ,Yangjae,양재,342,37.484147,127.034631
03호선,南部客运站,0331,ナンブターミナル,Nambu Bus Terminal,남부터미널,341,37.485013,127.016189
03호선,首尔教育大学,0330,キョデ,Seoul Nat`l Univ. of Education,교대,340,37.493415,127.01408
03호선,鼎鉢山,1956,鼎鉢山,Jeongbalsan,정발산,311,37.659477,126.773359
03호선,花井,1952,花井,Hwajeong,화정,315,37.634592,126.83265
03호선,玉水,0325,オクス,Oksu,옥수,335,37.540685,127.017965
03호선,金湖,0324,クムホ,Geumho,금호,334,37.548034,127.015872
03호선,药水,0323,ヤクス,Yaksu,약수,333,37.55434,127.010655
03호선,三松,1950,三松,Samsong,삼송,318,37.653083,126.895558
03호선,元興,1948,ウォンフン,Wonheung,원흥,317,37.650658,126.872642
04호선,果川,1453,クァチョン,Gwacheon,과천,438,37.433021,126.996568
04호선,舍堂,0433,サダン,Sadang,사당,433,37.47653,126.981685
04호선,南泰岭,0434,ナムテリョン,Namtaeryeong,남태령,434,37.463873,126.989134
04호선,立岩,1450,ソンバウィ,Seonbawi,선바위,435,37.451673,127.002303
04호선,赛马公园,1451,キョンマゴンウォン,Seoul Racecourse Park,경마공원,436,37.443885,127.007888
04호선,首尔大公园,1452,テゴンウォン,Seoul Grand Park,대공원,437,37.435675,127.006523
04호선,上溪,0410,サンゲ,Sanggye,상계,410,37.660878,127.073572
04호선,政府果川厅舍,1454,チョンブ・クァチョンチョンサ,Government Complex Gwacheon,정부과천청사,439,37.426513,126.98978
04호선,双门,0413,サンムン,Ssangmun,쌍문,413,37.648627,127.034709
04호선,水逾(江北区厅),0414,スユ,Suyu,수유,414,37.638052,127.025732
04호선,芦原,0411,ノウォン,Nowon,노원,411,37.655128,127.061368
04호선,仓洞,0412,チャンドン,Chang-dong,창동,412,37.653166,127.047731
04호선,弥阿(首尔网络大学),0415,ミア,Mia,미아,415,37.62667,127.025983
